
2024/12/19 (16:34:38) | ===> btop++ v.1.4.0
2024/12/19 (16:34:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/19 (17:49:36) | ===> btop++ v.1.4.0
2024/12/19 (17:49:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/19 (22:46:13) | ===> btop++ v.1.4.0
2024/12/19 (22:46:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/21 (16:10:18) | ===> btop++ v.1.4.0
2024/12/21 (16:10:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (23:46:51) | ===> btop++ v.1.4.0
2024/12/22 (23:46:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/22 (23:49:53) | ===> btop++ v.1.4.0
2024/12/22 (23:49:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (10:22:55) | ===> btop++ v.1.4.0
2024/12/30 (10:22:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (21:57:37) | ===> btop++ v.1.4.0
2025/01/08 (21:57:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/08 (22:08:08) | ===> btop++ v.1.4.0
2025/01/08 (22:08:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/11 (02:48:43) | ===> btop++ v.1.4.0
2025/01/11 (02:48:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/11 (15:55:20) | ===> btop++ v.1.4.0
2025/01/11 (15:55:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/17 (18:59:54) | ===> btop++ v.1.4.0
2025/01/17 (18:59:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/20 (14:08:56) | ===> btop++ v.1.4.0
2025/01/20 (14:08:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/23 (16:44:45) | ===> btop++ v.1.4.0
2025/01/23 (16:44:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/24 (12:47:06) | ===> btop++ v.1.4.0
2025/01/24 (12:47:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/25 (11:00:11) | ===> btop++ v.1.4.0
2025/01/25 (11:00:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/25 (11:13:47) | ===> btop++ v.1.4.0
2025/01/25 (11:13:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/25 (11:31:27) | ===> btop++ v.1.4.0
2025/01/25 (11:31:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (12:08:26) | ===> btop++ v.1.4.0
2025/01/30 (12:08:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/03 (10:53:24) | ===> btop++ v.1.4.0
2025/02/03 (10:53:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
